KBA,WMI1,WMI2,Name,FullName,Location
9589,,,CAPS (DK),CAPS A/S (KRAFTRAEDER ),RISSKOV/DAENEMARK
9590,,,TIM (DK),TIMM THYREGOD A/S (TRAILER),GIVE/DAENEMARK
9591,UH9,0M1,OMME LIFT (DK),OMME LIFT A/S (ANHAENGER),SOENDER OMME/DAENEMARK
9592,,,TIM 2000 (DK),TIM 2000 P/S (TRAILER),TIM/DAENEMARK
9593,UMS,,SAMSON (DK),SAMSON GROUP A/S,Viborg/Dänemark
9594,UHM,,EGHOLM (DK),Egholm A/S,Lemvig/Dänemark
9594,UH9,EM1,EGHOLM (DK),EGHOLM MASKINER A/S (TRACTOR),LEMVIG/DAENEMARK
9595,,,HARDI INTERNAT.(DK),HARDI INTERNATIONAL A/S (TRAILER),Nörre Alslev/DÄNEMARK
9596,,,EPOKE (DK),EPOKE A/S (TRAILER),VEJEN/DAENEMARK
9597,UJ1,,DENKA LIFT (DK),DENKA LIFT A/S (TRAILER),HOLBAEK/DAENEMARK
9598,,,HEISTEEL (DK),HEISTEEL DK APS (SPECIAL PURPOSE VEHICLE),VIDEBAEK/DAENEMARK
9599,,,FASTERHOLT (DK),FASTERHOLT MASKINFABRIK A/S (TRAILER),BRANDE/DAENEMARK
9600,UH7,,DE FOR.TRAILERFA(DK),DE FORENEDE TRAILERFABRIKKER A/S,VEJLE/DAENEMARK
9601,,,RANDERS (DK),RANDERS TRAILER,RANDERS/DAENEMARK
9602,,,GYRO (DK),AS GYRO (TRAILER),SKIVE/DAENEMARK
9603,,,BUKH (DK),MOTORENFABRIK BUKH A/S (TRACTOR),KALUNDBORG/DAENEMARK
9604,,,J.F.-FABRIKEN (DK),-JF-FABRIKEN J.FREUDENDAHL A/S (TRAILER),SONDERBURG/DAENEMARK
9605,,,ANDERSEN&JENSEN (DK),ANDERSEN & JENSEN (TRAILER),KOLDING/DAENEMARK
9606,,,VESTAS (DK),A/S VESTAS -VESTJYDSK STALVAREFABRIK- (TRAILER),LEM/DAENEMARK
9607,,,MADSEN (DK),A/S PETER MADSENS MASKINFABRIK (TRAILER),KOLDING/DAENEMARK
9608,,,SONDERBY (DK),H.SONDERBY & CO (TRAILER),TARM/DAENEMARK
9609,UH2,,BRENDERUP (DK),BRENDERUP TRAILERS A/S,NR.AABY/DAENEMARK
9610,,,NAVTEK (DK),MASKINFABRIK NAVTEK (TRAILER),VIBORG/DAENEMARK
9611,,,PEDERSEN (DK),MKP FABRIKKERNE A/S (TRAILER),KOLDING/DAENEMARK
9612,,,THOMSEN (DK),"A/S ALFRED THOMSEN,ASKOV (TRAILER)",VEJEN/DAENEMARK
9613,,,LAURSEN (DK),A.P.LAURSEN A/S (TRAILER),BOEGBALLE-ULDUM/DAENEMARK
9614,,,TAARUP (DK),MASKINFABRIKEN TAARUP (TRAILER),KERTEMINDE/DAENEMARK
9615,,,FRENDERUP (DK),FRENDERUP MASKINFABRIK (TRAILER),GREVINGE/DAENEMARK
9616,UH1,,COMBI-CAMP (DK),COMBI-CAMP A/S (CARAVAN),GREVINGE/DAENEMARK
9617,,,JECOTE (DK),"JECOTE,V.J.ESKILDSEN (TRAILER)",HADSUND/DAENEMARK
9618,,,SOENDER OMME (DK),A/S SOENDER OMME MASKINFABRIK (TRAILER),SOENDER OMME/DAENEMARK
9619,UH9,BR1,BREDAL (DK),BREDAL A/S,VEJLE/DAENEMARK
9620,,,BUHL (DK),NIELS & JENS BUHL APS (TRAILER),VEJLE/DAENEMARK
9621,,,HANSEN & SKOV (DK),HANSEN & SKOV A/S (TRAILER),HOLBAEK/DAENEMARK
9622,,,KROELL (DK),KROELL KRANER A/S (TRAILER),LYNGE/DAENEMARK
9623,,,VM-SPREDER (DK),VM-SPREDER A/S (TRAILER),KOLDING/DAENEMARK
9624,UHL,,CAMP-LET (DK),CAMP-LET APS (CARAVAN),GRAM (ARNUM)/DAENEMARK
9624,UH6,,CAMP-LET (DK),CAMP-LET APS (CARAVAN),GRAM (ARNUM)/DAENEMARK
9625,,,NOPA (DK),A/S VOGNFABRIKEN NOPA (TRAILER),KOEGE/DAENEMARK
9626,,,TIM MASKINFABRIK(DK),TIM MASKINFABRIK A/S (TRAILER),TIM/DAENEMARK
9627,,,NORLYK & SOENNER(DK),H.A.NORLYK & SOENNER A/S (TRAILER),GIVE/DAENEMARK
9628,XLC,,FORD (NL),FORD NEDERLANDE NV (CAR/TRUCK),AT AMSTERDAM/NIEDERLANDE
9629,XLB,,VOLVO (NL),AUTODIVISIE VOLVO CAR BV,HELMOND/NIEDERLANDE
9630,,,HALCARROS (NL),HALCARROS,NIEDERLANDE
9631,,,NOVEL (NL),INDUSTRIE- EN HANDELMAATSCHAPPIJ NOVEL BV,HATTEM/NIEDERLANDE
9632,,,TENNANT (NL),TENNANT NV,UDEN/NIEDERLANDE
9633,,,E.M.L. TECHNIEK (NL),E.M.L.TECHNIEK HOLLAND (MOTORCYCLE),BW NEEDE/NIEDERLANDE
